,Auckland,Hamilton,Tauranga,Wellington,Christchurch,Dunedin,Whangarei,Rotorua,Gisborne,Hastings,Napier,New Plymouth,Whanganui,Palmerston North,Kapiti Coast,Nelson,Invercargill,Cambridge,Te Awamutu,Tokoroa,Taupo,Whakatane,Feilding,Levin,Masterton,Blenheim,Greymouth,Ashburton,Timaru,Oamaru,Queenstown,Kaitaia,Kerikeri,Warkworth,Whitianga,Thames,Waihi,Huntly,Morrinsville,Matamata,Katikati,Te Puke,Kawerau,Stratford,Hawera,Marton,Dannevirke,Otaki,Motueka,Cromwell,Alexandra,Wanaka,Gore
u20.0km_u10deg,630.04,1126.88,491.07,184.18,746.52,305.78,732.16,747.79,347.09,741.27,439.52,528.19,471.32,990.52,223.89,235.54,962.46,1004.33,1070.28,831.53,767.11,345.36,1145.03,582.79,745.48,520.96,354.56,1237.21,648.32,580.36,173.15,588.50,654.59,484.46,282.27,400.23,465.23,908.59,1147.13,995.50,564.43,617.89,668.30,950.27,957.36,987.00,666.10,360.92,312.51,369.84,668.00,379.07,990.60
u20.0km_u15deg,688.57,1168.96,570.11,262.02,788.94,420.74,877.72,878.18,444.81,849.75,497.94,578.13,548.85,1066.22,296.25,322.45,965.58,1116.47,1146.64,980.09,860.17,391.56,1186.62,632.84,886.24,595.97,427.78,1237.48,678.84,632.54,257.90,724.91,783.19,648.70,423.80,494.04,606.06,1007.50,1200.33,1104.02,660.88,710.18,828.32,1035.34,1028.96,1065.99,819.77,409.85,399.39,554.49,861.07,488.52,1108.93
u20.0km_u20deg,714.65,1197.98,621.75,342.49,829.92,516.37,975.78,962.38,542.56,930.57,547.20,607.38,620.06,1123.35,374.40,422.23,966.75,1183.09,1192.27,1077.01,915.43,435.44,1209.89,689.71,1007.18,684.69,494.59,1237.61,696.17,660.14,365.56,822.98,867.84,772.98,552.05,588.16,724.34,1077.62,1229.70,1167.16,734.56,775.41,956.35,1101.68,1088.76,1125.22,943.83,466.78,478.17,739.16,998.48,607.45,1174.49
u20.0km_u25deg,726.82,1218.21,655.35,419.35,864.69,591.59,1045.22,1019.00,623.68,985.48,584.98,625.87,684.03,1166.24,452.44,520.54,967.17,1217.56,1219.12,1143.96,951.38,474.51,1224.36,751.14,1100.59,776.32,552.89,1237.65,706.11,674.37,492.83,886.06,921.55,855.17,654.62,670.54,813.33,1128.03,1244.17,1204.16,790.37,821.90,1057.42,1156.32,1141.41,1169.25,1043.80,529.26,546.90,903.70,1096.50,727.97,1211.86
u20.0km_u30deg,732.13,1230.02,675.67,486.89,890.84,646.42,1087.41,1055.78,680.40,1016.36,609.07,637.12,737.78,1197.49,524.43,611.76,967.33,1232.21,1232.76,1189.15,974.63,505.01,1232.86,813.24,1165.72,861.78,598.74,1237.66,711.65,680.86,627.98,922.77,951.20,899.46,727.12,735.00,874.00,1158.12,1250.00,1226.10,831.30,853.26,1132.29,1200.12,1187.69,1198.71,1121.49,592.44,605.29,1034.57,1162.87,839.05,1231.97
u20.0km_u35deg,734.27,1235.31,686.41,541.17,907.88,681.00,1106.91,1077.64,714.00,1030.53,620.97,643.33,778.12,1217.95,587.77,691.33,967.40,1237.54,1238.93,1216.59,987.65,524.73,1236.99,873.58,1208.51,933.62,631.04,1237.67,714.47,683.17,759.81,940.94,964.45,918.37,771.06,778.60,910.66,1171.59,1251.91,1238.95,859.02,871.20,1180.02,1229.41,1220.94,1214.64,1179.11,653.34,652.27,1126.10,1203.66,935.25,1241.43
u20.0km_u40deg,735.00,1237.09,691.47,576.87,917.44,698.92,1114.06,1089.63,729.70,1036.08,625.68,646.12,802.17,1229.14,634.48,747.10,967.42,1239.41,1241.49,1232.01,994.04,534.35,1238.63,923.96,1231.78,980.48,650.62,1237.67,715.72,683.80,873.27,948.71,969.51,924.99,793.01,803.73,929.65,1176.29,1252.49,1246.26,875.69,880.10,1205.26,1243.71,1237.53,1221.15,1217.19,703.44,684.18,1180.02,1225.36,1008.10,1245.20
u20.0km_u45deg,735.24,1237.54,693.74,596.26,922.10,706.56,1116.23,1095.72,735.71,1038.11,627.33,647.20,813.62,1234.23,661.90,777.57,967.43,1240.02,1242.44,1239.31,996.80,538.31,1239.20,956.23,1242.53,1004.96,661.56,1237.67,716.17,683.93,957.29,951.32,971.19,926.93,802.46,816.20,938.00,1177.65,1252.63,1249.88,884.02,884.25,1217.35,1249.53,1244.14,1223.47,1237.65,734.60,702.79,1207.27,1235.25,1055.17,1246.40
u20.0km_u50deg,735.30,1237.64,694.58,604.70,923.89,709.13,1116.75,1098.31,737.52,1038.83,627.85,647.61,818.16,1236.10,674.79,791.13,967.43,1240.18,1242.75,1242.06,997.86,539.63,1239.36,971.96,1246.54,1015.25,667.02,1237.67,716.32,683.96,1010.82,952.08,971.63,927.38,806.08,821.60,941.15,1177.91,1252.66,1251.39,887.34,885.87,1222.20,1251.48,1246.23,1224.12,1246.33,749.33,712.00,1218.69,1238.87,1080.82,1246.60
u20.0km_u55deg,735.30,1237.66,694.79,607.38,924.40,709.75,1116.84,1099.18,737.86,1039.05,627.97,647.72,819.29,1236.59,679.13,795.44,967.43,1240.21,1242.81,1242.81,998.19,540.00,1239.39,977.68,1247.52,1018.11,669.19,1237.67,716.36,683.97,1038.69,952.21,971.72,927.45,807.16,823.57,941.99,1177.95,1252.67,1251.89,888.30,886.32,1223.76,1251.98,1246.63,1224.27,1249.00,754.35,716.01,1222.32,1239.87,1091.41,1246.62
u20.0km_u60deg,735.30,1237.66,694.83,607.88,924.50,709.88,1116.85,1099.39,737.90,1039.10,627.99,647.73,819.43,1236.66,679.93,796.16,967.43,1240.22,1242.82,1242.92,998.30,540.07,1239.40,978.78,1247.66,1018.60,669.78,1237.67,716.36,683.97,1049.68,952.23,971.74,927.45,807.39,824.16,942.13,1177.95,1252.67,1251.99,888.47,886.45,1224.16,1252.09,1246.70,1224.29,1249.37,755.24,717.34,1223.16,1240.08,1094.32,1246.62
u20.0km_u65deg,735.30,1237.66,694.83,607.92,924.51,709.91,1116.85,1099.42,737.91,1039.12,627.99,647.74,819.44,1236.67,679.98,796.21,967.43,1240.22,1242.82,1242.94,998.32,540.09,1239.40,978.85,1247.66,1018.66,669.87,1237.67,716.36,683.97,1053.00,952.23,971.74,927.45,807.43,824.30,942.15,1177.95,1252.67,1252.00,888.49,886.47,1224.26,1252.11,1246.72,1224.29,1249.39,755.29,717.65,1223.28,1240.10,1094.85,1246.62
u20.0km_u70deg,735.30,1237.66,694.83,607.92,924.51,709.91,1116.85,1099.42,737.91,1039.12,627.99,647.74,819.44,1236.67,679.98,796.21,967.43,1240.22,1242.82,1242.95,998.32,540.09,1239.40,978.85,1247.66,1018.67,669.88,1237.67,716.36,683.97,1053.77,952.23,971.74,927.45,807.43,824.32,942.15,1177.95,1252.67,1252.00,888.49,886.47,1224.28,1252.11,1246.72,1224.29,1249.39,755.29,717.68,1223.29,1240.10,1094.91,1246.62
u20.0km_u75deg,735.30,1237.66,694.83,607.92,924.51,709.91,1116.85,1099.42,737.91,1039.12,627.99,647.74,819.44,1236.67,679.98,796.21,967.43,1240.22,1242.82,1242.96,998.32,540.09,1239.40,978.85,1247.66,1018.67,669.88,1237.67,716.36,683.97,1053.88,952.23,971.74,927.45,807.43,824.32,942.15,1177.95,1252.67,1252.00,888.49,886.47,1224.29,1252.11,1246.72,1224.29,1249.39,755.29,717.68,1223.29,1240.10,1094.92,1246.62
u20.0km_u80deg,735.30,1237.66,694.83,607.92,924.51,709.91,1116.85,1099.42,737.91,1039.12,627.99,647.74,819.44,1236.67,679.98,796.21,967.43,1240.22,1242.82,1242.96,998.32,540.09,1239.40,978.85,1247.66,1018.67,669.88,1237.67,716.36,683.97,1053.89,952.23,971.74,927.45,807.43,824.32,942.15,1177.95,1252.67,1252.00,888.49,886.47,1224.29,1252.11,1246.72,1224.29,1249.39,755.29,717.68,1223.29,1240.10,1094.92,1246.62
u20.0km_u85deg,735.30,1237.66,694.83,607.92,924.51,709.91,1116.85,1099.42,737.91,1039.12,627.99,647.74,819.44,1236.67,679.98,796.21,967.43,1240.22,1242.82,1242.96,998.32,540.09,1239.40,978.85,1247.66,1018.67,669.88,1237.67,716.36,683.97,1053.89,952.23,971.74,927.45,807.43,824.32,942.15,1177.95,1252.67,1252.00,888.49,886.47,1224.29,1252.11,1246.72,1224.29,1249.39,755.29,717.68,1223.29,1240.10,1094.92,1246.62
u20.0km_u90deg,735.30,1237.66,694.83,607.92,924.51,709.91,1116.85,1099.42,737.91,1039.12,627.99,647.74,819.44,1236.67,679.98,796.21,967.43,1240.22,1242.82,1242.96,998.32,540.09,1239.40,978.85,1247.66,1018.67,669.88,1237.67,716.36,683.97,1053.89,952.23,971.74,927.45,807.43,824.32,942.15,1177.95,1252.67,1252.00,888.49,886.47,1224.29,1252.11,1246.72,1224.29,1249.39,755.29,717.68,1223.29,1240.10,1094.92,1246.62
u25.0km_u0deg,0.25,0.33,0.15,0.11,0.45,0.27,0.37,0.74,0.23,0.69,0.46,0.21,0.38,0.55,0.14,0.14,0.76,0.39,0.23,0.39,0.22,0.36,0.71,0.64,0.69,0.31,0.46,0.35,0.38,0.44,0.56,0.34,0.33,0.13,0.05,0.16,0.23,1.03,0.40,0.49,0.20,0.22,0.59,0.32,0.38,0.78,0.47,0.36,0.12,0.58,0.81,0.63,0.75
u25.0km_u5deg,651.62,1445.90,571.40,141.44,1089.27,274.87,701.98,771.66,328.59,780.09,545.22,616.36,515.10,1354.41,235.18,241.24,1382.77,1355.87,1286.21,894.39,889.96,478.76,1510.27,710.10,762.29,604.79,448.80,1811.64,872.33,682.89,120.77,581.25,582.39,418.85,184.90,567.26,601.96,1152.94,1578.13,1135.19,721.24,669.56,716.39,1098.86,1108.78,1223.94,645.72,409.82,289.89,374.34,616.05,341.92,1140.44
u25.0km_u10deg,889.93,1613.37,773.98,237.95,1138.30,447.31,1060.59,1158.83,477.60,1009.54,686.51,778.97,662.57,1535.64,334.84,364.21,1403.54,1630.17,1553.72,1298.72,1198.24,569.83,1674.32,789.96,1026.14,713.10,585.84,1813.52,991.59,846.35,232.26,806.89,881.51,711.03,357.72,720.70,778.14,1405.37,1729.88,1471.55,915.69,887.91,1040.47,1347.10,1317.26,1411.42,978.03,481.96,448.44,661.54,1048.34,505.95,1514.44
u25.0km_u15deg,1005.61,1728.85,894.62,339.82,1201.06,603.23,1295.81,1381.19,648.97,1179.25,805.50,855.88,782.44,1655.68,441.43,499.70,1411.65,1782.40,1710.66,1525.77,1342.21,648.39,1766.78,866.47,1259.66,829.17,686.75,1814.10,1049.69,938.43,373.67,1006.30,1086.35,923.15,550.05,885.84,946.53,1579.70,1824.48,1667.43,1056.63,1027.63,1278.02,1491.79,1436.60,1535.69,1238.84,555.61,585.78,951.07,1348.17,689.08,1712.66
u25.0km_u20deg,1065.67,1815.08,972.75,445.84,1264.60,733.48,1454.82,1526.00,816.06,1303.81,904.15,902.73,896.84,1746.98,556.69,653.00,1415.24,1867.76,1811.09,1674.81,1427.90,719.44,1829.86,957.26,1464.84,967.79,776.94,1814.32,1081.77,991.14,558.93,1152.95,1231.31,1071.18,730.65,1040.34,1089.26,1705.41,1884.36,1787.46,1162.21,1125.96,1466.06,1614.59,1541.59,1632.69,1451.98,645.19,714.71,1230.34,1563.34,896.33,1825.23
u25.0km_u25deg,1097.59,1876.93,1024.17,548.07,1320.31,837.01,1564.94,1625.60,953.81,1388.68,979.98,934.38,1003.28,1816.56,673.06,805.71,1416.76,1911.52,1874.66,1778.35,1483.55,781.01,1874.26,1057.64,1630.08,1114.57,856.41,1814.42,1099.82,1020.76,775.34,1248.37,1329.97,1165.17,880.29,1169.99,1198.34,1793.97,1919.76,1860.54,1238.87,1196.52,1615.42,1722.79,1637.80,1707.77,1621.37,747.88,830.59,1473.34,1717.34,1110.46,1889.68
u25.0km_u30deg,1113.44,1913.47,1055.99,638.73,1364.96,913.32,1631.29,1692.04,1050.61,1437.06,1030.21,955.72,1096.82,1868.00,781.83,949.02,1417.33,1930.08,1911.04,1848.00,1519.48,828.32,1904.43,1160.37,1752.84,1254.52,921.10,1814.46,1109.47,1036.40,1002.66,1303.81,1388.67,1214.62,990.22,1268.97,1274.24,1845.92,1938.80,1903.56,1292.15,1244.31,1727.65,1817.29,1726.87,1760.93,1751.46,854.51,931.41,1662.45,1821.26,1309.55,1924.12
u25.0km_u35deg,1120.41,1930.35,1073.13,712.70,1395.31,961.88,1663.08,1732.42,1107.91,1459.50,1057.11,969.52,1171.04,1902.32,880.56,1078.87,1417.52,1936.70,1929.23,1890.49,1539.66,858.95,1922.41,1261.51,1841.48,1375.35,968.84,1814.47,1114.14,1044.11,1223.29,1330.78,1417.38,1235.43,1059.30,1335.38,1321.21,1868.60,1948.12,1927.53,1326.44,1271.54,1801.25,1887.73,1797.30,1792.07,1845.03,963.18,1016.07,1792.41,1884.21,1479.73,1940.13
u25.0km_u40deg,1123.09,1936.58,1081.56,763.09,1412.19,987.43,1675.71,1755.24,1134.70,1468.20,1069.24,977.07,1217.46,1921.28,958.25,1176.81,1417.58,1938.91,1937.09,1914.47,1549.59,874.07,1931.31,1346.58,1898.13,1458.19,999.47,1814.47,1116.15,1047.74,1410.75,1341.91,1429.60,1242.67,1095.23,1373.45,1346.22,1876.35,1952.46,1940.19,1346.26,1284.91,1842.21,1926.03,1837.42,1806.12,1903.77,1059.60,1076.86,1867.14,1916.78,1605.85,1946.29
u25.0km_u45deg,1124.07,1938.33,1085.44,791.83,1420.12,998.65,1680.06,1767.05,1144.97,1471.26,1074.38,980.66,1240.35,1930.08,1006.62,1234.74,1417.59,1939.61,1939.91,1925.94,1554.00,880.31,1935.08,1401.96,1929.65,1503.46,1017.39,1814.47,1116.92,1049.64,1547.35,1345.55,1434.11,1244.80,1111.44,1392.23,1357.52,1878.49,1954.26,1946.06,1355.88,1291.06,1863.25,1942.88,1855.66,1811.57,1934.30,1124.42,1113.29,1903.81,1931.22,1685.75,1948.16
u25.0km_u50deg,1124.34,1938.69,1086.98,804.89,1422.98,1002.55,1681.34,1772.24,1148.03,1472.25,1076.30,982.25,1249.57,1933.37,1030.35,1262.96,1417.59,1939.79,1940.74,1930.39,1555.73,882.38,1936.36,1429.36,1943.97,1523.33,1026.48,1814.47,1117.15,1050.56,1632.66,1346.61,1435.55,1245.29,1117.97,1400.31,1361.81,1878.90,1954.92,1948.35,1359.73,1293.40,1872.36,1949.12,1862.16,1813.30,1946.90,1157.30,1131.86,1918.59,1936.28,1728.58,1948.46
u25.0km_u55deg,1124.40,1938.75,1087.44,809.34,1423.68,1003.52,1681.62,1774.03,1148.63,1472.51,1076.88,982.83,1251.97,1934.26,1039.02,1273.62,1417.59,1939.82,1940.89,1931.74,1556.23,882.91,1936.68,1439.69,1948.84,1529.36,1030.18,1814.47,1117.20,1050.95,1675.56,1346.79,1435.87,1245.37,1120.13,1403.22,1362.98,1878.94,1955.07,1949.03,1360.85,1294.03,1875.54,1950.88,1863.72,1813.68,1950.55,1169.82,1139.96,1923.05,1937.58,1746.35,1948.48
u25.0km_u60deg,1124.41,1938.75,1087.57,810.24,1423.78,1003.72,1681.67,1774.51,1148.71,1472.58,1077.02,983.03,1252.30,1934.38,1040.80,1276.35,1417.59,1939.83,1940.91,1932.03,1556.37,883.01,1936.74,1441.81,1949.85,1530.52,1031.15,1814.47,1117.21,1051.05,1691.56,1346.81,1435.92,1245.38,1120.69,1404.01,1363.19,1878.95,1955.08,1949.16,1361.07,1294.18,1876.39,1951.36,1864.01,1813.74,1951.04,1172.50,1142.67,1923.99,1937.83,1751.38,1948.48
u25.0km_u65deg,1124.41,1938.75,1087.58,810.31,1423.79,1003.76,1681.68,1774.60,1148.73,1472.60,1077.04,983.08,1252.33,1934.39,1040.92,1276.85,1417.59,1939.83,1940.91,1932.11,1556.40,883.02,1936.74,1441.99,1949.94,1530.65,1031.28,1814.47,1117.21,1051.05,1696.26,1346.81,1435.93,1245.38,1120.83,1404.18,1363.22,1878.95,1955.09,1949.18,1361.10,1294.20,1876.56,1951.48,1864.07,1813.75,1951.06,1172.72,1143.35,1924.13,1937.86,1752.37,1948.48
u25.0km_u70deg,1124.41,1938.75,1087.58,810.31,1423.79,1003.77,1681.68,1774.61,1148.73,1472.60,1077.04,983.09,1252.33,1934.39,1040.92,1276.92,1417.59,1939.83,1940.91,1932.13,1556.40,883.03,1936.74,1441.99,1949.94,1530.66,1031.29,1814.47,1117.21,1051.05,1697.34,1346.81,1435.93,1245.38,1120.84,1404.20,1363.23,1878.95,1955.09,1949.18,1361.10,1294.20,1876.59,1951.50,1864.07,1813.75,1951.07,1172.73,1143.45,1924.14,1937.87,1752.48,1948.48
u25.0km_u75deg,1124.41,1938.75,1087.58,810.31,1423.79,1003.77,1681.68,1774.61,1148.73,1472.60,1077.04,983.09,1252.33,1934.39,1040.92,1276.93,1417.59,1939.83,1940.91,1932.13,1556.40,883.03,1936.74,1441.99,1949.94,1530.66,1031.29,1814.47,1117.21,1051.05,1697.49,1346.81,1435.93,1245.38,1120.84,1404.20,1363.23,1878.95,1955.09,1949.18,1361.10,1294.20,1876.59,1951.50,1864.07,1813.75,1951.07,1172.73,1143.45,1924.14,1937.87,1752.49,1948.48
u25.0km_u80deg,1124.41,1938.75,1087.58,810.31,1423.79,1003.77,1681.68,1774.61,1148.73,1472.60,1077.04,983.09,1252.33,1934.39,1040.92,1276.93,1417.59,1939.83,1940.91,1932.13,1556.40,883.03,1936.74,1441.99,1949.94,1530.66,1031.29,1814.47,1117.21,1051.05,1697.49,1346.81,1435.93,1245.38,1120.84,1404.20,1363.23,1878.95,1955.09,1949.18,1361.10,1294.20,1876.59,1951.50,1864.07,1813.75,1951.07,1172.73,1143.45,1924.14,1937.87,1752.49,1948.48
u25.0km_u85deg,1124.41,1938.75,1087.58,810.31,1423.79,1003.77,1681.68,1774.61,1148.73,1472.60,1077.04,983.09,1252.33,1934.39,1040.92,1276.93,1417.59,1939.83,1940.91,1932.13,1556.40,883.03,1936.74,1441.99,1949.94,1530.66,1031.29,1814.47,1117.21,1051.05,1697.49,1346.81,1435.93,1245.38,1120.84,1404.20,1363.23,1878.95,1955.09,1949.18,1361.10,1294.20,1876.59,1951.50,1864.07,1813.75,1951.07,1172.73,1143.45,1924.14,1937.87,1752.49,1948.48
u25.0km_u90deg,1124.41,1938.75,1087.58,810.31,1423.79,1003.77,1681.68,1774.61,1148.73,1472.60,1077.04,983.09,1252.33,1934.39,1040.92,1276.93,1417.59,1939.83,1940.91,1932.13,1556.40,883.03,1936.74,1441.99,1949.94,1530.66,1031.29,1814.47,1117.21,1051.05,1697.49,1346.81,1435.93,1245.38,1120.84,1404.20,1363.23,1878.95,1955.09,1949.18,1361.10,1294.20,1876.59,1951.50,1864.07,1813.75,1951.07,1172.73,1143.45,1924.14,1937.87,1752.49,1948.48
u30.0km_u0deg,0.41,0.52,0.21,0.14,1.17,0.40,0.47,0.97,0.32,0.92,0.64,0.34,0.54,0.81,0.22,0.21,0.98,0.61,0.52,0.62,0.33,0.46,0.94,0.76,0.87,0.46,1.21,0.47,0.50,0.60,0.79,0.38,0.39,0.22,0.08,0.34,0.38,1.23,0.68,0.68,0.26,0.31,1.10,0.49,0.48,0.99,0.67,0.48,0.20,0.92,1.57,1.05,1.08
u30.0km_u5deg,887.77,1894.49,799.25,189.20,1483.61,411.28,901.90,1091.57,395.91,975.68,705.10,831.45,687.07,1873.27,328.92,346.41,1849.92,2049.43,1669.53,1280.23,1335.40,627.85,2043.01,902.92,927.93,692.94,640.46,2439.72,1202.16,878.58,152.32,706.58,727.51,573.36,222.35,818.84,969.79,1591.30,2114.22,1604.59,1096.69,860.30,978.41,1473.33,1403.13,1589.38,891.90,514.05,412.04,603.41,917.27,484.98,1621.61
u30.0km_u10deg,1226.34,2192.98,1096.80,314.34,1549.54,649.68,1378.29,1652.64,621.65,1319.32,950.86,1049.42,878.10,2135.48,465.59,526.11,1892.98,2407.48,2096.21,1877.39,1761.30,777.22,2291.29,1017.03,1296.95,853.88,820.31,2442.48,1399.93,1112.39,310.37,996.17,1131.55,962.80,432.02,1084.00,1183.80,1980.93,2342.60,2066.78,1350.42,1179.41,1396.07,1826.96,1682.53,1837.41,1365.97,612.92,618.51,1024.08,1518.28,714.58,2158.09
u30.0km_u15deg,1409.36,2403.51,1274.40,445.66,1634.26,854.35,1706.50,1982.20,884.33,1564.62,1149.53,1156.72,1041.95,2318.30,612.70,719.64,1908.69,2596.31,2365.92,2211.71,1966.99,906.09,2447.08,1132.50,1644.63,1029.31,954.01,2443.44,1498.91,1254.89,528.38,1262.18,1432.49,1226.72,668.71,1361.23,1384.77,2260.65,2503.13,2339.51,1535.37,1377.58,1699.81,2044.24,1855.48,2014.44,1753.84,718.30,812.59,1427.70,1941.38,978.75,2450.45
u30.0km_u20deg,1516.61,2558.58,1392.02,582.02,1720.83,1023.59,1930.54,2204.35,1140.08,1740.55,1308.89,1227.89,1207.33,2465.37,775.43,939.04,1915.54,2701.46,2546.01,2429.16,2093.37,1023.56,2563.68,1270.24,1965.08,1239.20,1075.95,2443.91,1554.84,1345.91,818.08,1462.28,1655.90,1398.11,893.85,1614.91,1554.72,2460.99,2619.43,2512.85,1675.10,1514.49,1943.30,2234.09,2015.05,2161.43,2075.92,849.00,1004.58,1810.95,2250.37,1281.77,2619.73
u30.0km_u25deg,1581.22,2667.18,1472.98,713.16,1797.89,1157.87,2083.90,2363.14,1350.90,1859.41,1430.06,1279.80,1368.87,2582.40,942.66,1161.14,1918.28,2756.51,2663.58,2577.96,2177.13,1126.24,2650.77,1422.41,2233.02,1461.11,1186.16,2444.18,1586.33,1405.24,1153.23,1593.82,1812.19,1501.49,1082.08,1822.36,1684.77,2598.30,2698.96,2624.81,1776.81,1611.67,2141.61,2405.97,2166.43,2281.96,2331.93,1000.19,1184.00,2143.42,2470.99,1595.69,2717.30
u30.0km_u30deg,1617.02,2731.57,1526.62,828.70,1861.13,1256.52,2176.59,2473.59,1499.73,1928.41,1511.25,1318.44,1519.53,2670.95,1101.51,1373.86,1919.26,2780.85,2733.11,2676.16,2231.69,1206.80,2713.32,1577.09,2438.29,1671.20,1278.90,2444.34,1602.89,1443.62,1499.31,1671.21,1907.44,1554.16,1221.11,1975.26,1775.70,2677.71,2749.38,2695.20,1846.45,1676.66,2295.63,2560.90,2309.84,2374.28,2525.65,1158.84,1342.48,2403.71,2618.76,1887.17,2769.46
u30.0km_u35deg,1634.67,2762.32,1558.66,922.15,1905.01,1318.54,2221.90,2543.37,1588.07,1961.35,1556.57,1346.05,1647.27,2730.33,1247.75,1571.40,1919.55,2789.67,2768.49,2734.67,2262.60,1261.72,2753.30,1727.02,2591.78,1854.18,1351.24,2444.43,1610.45,1468.81,1828.64,1710.59,1955.13,1575.92,1309.31,2072.63,1832.17,2712.29,2778.71,2737.35,1889.94,1712.97,2402.00,2682.25,2428.32,2434.17,2660.88,1322.77,1475.05,2585.53,2707.52,2136.79,2793.89
u30.0km_u40deg,1642.33,2774.41,1576.33,985.14,1929.63,1350.86,2240.44,2583.67,1629.47,1974.61,1578.12,1362.45,1730.51,2763.18,1364.57,1725.62,1919.63,2792.57,2783.90,2766.59,2277.96,1290.99,2774.30,1851.86,2698.03,1983.01,1401.07,2444.47,1613.56,1484.63,2104.65,1728.11,1975.74,1583.34,1355.57,2124.72,1862.36,2724.16,2794.86,2760.80,1913.84,1730.27,2465.24,2751.10,2499.88,2464.92,2743.20,1471.42,1571.66,2692.74,2753.01,2323.21,2803.50
u30.0km_u45deg,1645.41,2778.32,1584.93,1020.85,1941.10,1364.91,2247.15,2604.47,1645.40,1979.46,1587.50,1370.78,1772.83,2778.45,1438.74,1820.22,1919.64,2793.42,2789.47,2781.41,2284.79,1304.43,2783.60,1933.05,2762.85,2054.65,1431.37,2444.48,1614.72,1494.07,2303.12,1734.20,1983.33,1585.53,1376.76,2148.71,1875.90,2727.49,2802.52,2771.92,1925.04,1737.93,2500.06,2782.11,2534.29,2478.18,2785.09,1574.85,1631.49,2747.40,2773.02,2443.07,2806.55
u30.0km_u50deg,1646.56,2779.30,1588.46,1036.88,1945.26,1369.81,2249.28,2613.46,1650.29,1981.02,1591.19,1374.59,1790.28,2784.20,1475.56,1868.33,1919.64,2793.63,2791.08,2786.98,2287.47,1309.45,2786.80,1973.27,2794.64,2087.21,1447.14,2444.48,1615.11,1498.73,2425.47,1736.09,1985.64,1586.02,1385.41,2158.48,1880.96,2728.14,2805.51,2776.20,1929.42,1740.79,2515.95,2793.35,2547.66,2482.76,2802.18,1629.18,1663.26,2770.49,2779.99,2509.26,2807.12
u30.0km_u55deg,1646.95,2779.48,1589.55,1042.29,1946.19,1371.07,2249.77,2616.52,1651.24,1981.44,1592.36,1376.02,1795.00,2785.77,1489.17,1887.70,1919.64,2793.66,2791.37,2788.61,2288.29,1310.87,2787.56,1988.48,2806.82,2097.74,1453.70,2444.48,1615.21,1500.55,2486.21,1736.46,1986.13,1586.10,1388.33,2161.83,1882.37,2728.22,2806.38,2777.40,1930.64,1741.57,2521.81,2796.23,2551.38,2483.84,2807.12,1650.94,1677.67,2777.88,2781.78,2538.54,2807.17
u30.0km_u60deg,1647.06,2779.50,1589.83,1043.34,1946.31,1371.34,2249.88,2617.31,1651.36,1981.53,1592.67,1376.47,1795.68,2785.99,1492.11,1893.15,1919.64,2793.67,2791.40,2788.94,2288.51,1311.17,2787.66,1991.64,2809.70,2099.85,1455.44,2444.48,1615.22,1500.93,2508.79,1736.50,1986.20,1586.11,1389.11,2162.70,1882.62,2728.22,2806.53,2777.64,1930.88,1741.76,2523.38,2796.88,2552.18,2483.99,2807.80,1656.00,1682.54,2779.53,2782.13,2547.90,2807.17
u30.0km_u65deg,1647.07,2779.50,1589.88,1043.42,1946.33,1371.39,2249.90,2617.48,1651.38,1981.54,1592.74,1376.58,1795.73,2786.00,1492.34,1894.28,1919.64,2793.67,2791.41,2789.02,2288.56,1311.23,2787.67,1991.92,2810.01,2100.10,1455.71,2444.48,1615.22,1500.95,2515.39,1736.51,1986.21,1586.11,1389.30,2162.88,1882.66,2728.22,2806.55,2777.69,1930.90,1741.81,2523.65,2797.02,2552.34,2484.00,2807.84,1656.45,1683.72,2779.78,2782.17,2550.18,2807.17
u30.0km_u70deg,1647.08,2779.50,1589.90,1043.42,1946.33,1371.40,2249.90,2617.53,1651.38,1981.55,1592.74,1376.59,1795.74,2786.00,1492.34,1894.47,1919.64,2793.67,2791.41,2789.04,2288.56,1311.24,2787.67,1991.93,2810.02,2100.11,1455.73,2444.48,1615.22,1500.95,2516.81,1736.51,1986.21,1586.11,1389.32,2162.90,1882.66,2728.22,2806.55,2777.71,1930.90,1741.83,2523.69,2797.04,2552.37,2484.00,2807.84,1656.47,1683.86,2779.81,2782.18,2550.53,2807.17
u30.0km_u75deg,1647.08,2779.50,1589.91,1043.42,1946.33,1371.40,2249.90,2617.53,1651.38,1981.55,1592.74,1376.60,1795.74,2786.00,1492.34,1894.48,1919.64,2793.67,2791.41,2789.05,2288.56,1311.24,2787.67,1991.93,2810.02,2100.11,1455.73,2444.48,1615.22,1500.95,2516.98,1736.51,1986.21,1586.11,1389.32,2162.90,1882.66,2728.22,2806.55,2777.71,1930.90,1741.83,2523.69,2797.04,2552.37,2484.00,2807.84,1656.47,1683.87,2779.81,2782.18,2550.55,2807.17
